camera_id,runA_frame,runB_frame,confidence,posterior_probability,posterior_no_correspondence,confidence_is_calibrated_probability,status,method,motion_channel
cam5,1551,1466,0.772756,0.772756,0.002192,True,accepted_posterior,bayes-hmm-v1,true
cam5,1552,1466,0.841446,0.841446,0.001437,True,accepted_posterior,bayes-hmm-v1,true
cam5,1553,1468,0.944311,0.944311,0.000796,True,accepted_posterior,bayes-hmm-v1,true
cam5,1554,1469,0.966562,0.966562,0.000499,True,accepted_posterior,bayes-hmm-v1,true
cam5,1555,1470,0.979881,0.979881,0.000455,True,accepted_posterior,bayes-hmm-v1,true
cam5,1556,1471,0.986302,0.986302,0.000556,True,accepted_posterior,bayes-hmm-v1,true
cam5,1557,1472,0.987514,0.987514,0.000453,True,accepted_posterior,bayes-hmm-v1,true
cam5,1558,1473,0.984591,0.984591,0.000387,True,accepted_posterior,bayes-hmm-v1,true
cam5,1559,1474,0.990369,0.990369,0.000357,True,accepted_posterior,bayes-hmm-v1,true
cam5,1560,1475,0.986749,0.986749,0.000652,True,accepted_posterior,bayes-hmm-v1,true
cam5,1561,1476,0.992008,0.992008,0.000463,True,accepted_posterior,bayes-hmm-v1,true
cam5,1562,1477,0.993437,0.993437,0.000241,True,accepted_posterior,bayes-hmm-v1,true
cam5,1563,1479,0.998998,0.998998,0.000326,True,accepted_posterior,bayes-hmm-v1,true
cam5,1564,1480,0.99914,0.99914,0.000389,True,accepted_posterior,bayes-hmm-v1,true
cam5,1565,1481,0.999066,0.999066,0.000517,True,accepted_posterior,bayes-hmm-v1,true
cam5,1566,1482,0.998209,0.998209,0.000437,True,accepted_posterior,bayes-hmm-v1,true
cam5,1567,1483,0.998787,0.998787,0.000457,True,accepted_posterior,bayes-hmm-v1,true
cam5,1568,1484,0.998789,0.998789,0.000817,True,accepted_posterior,bayes-hmm-v1,true
cam5,1569,1485,0.997893,0.997893,0.001167,True,accepted_posterior,bayes-hmm-v1,true
cam5,1570,1486,0.995937,0.995937,0.001747,True,accepted_posterior,bayes-hmm-v1,true
cam5,1571,1488,0.98569,0.98569,0.003701,True,accepted_posterior,bayes-hmm-v1,true
cam5,1572,1489,0.992701,0.992701,0.001734,True,accepted_posterior,bayes-hmm-v1,true
cam5,1573,1490,0.997793,0.997793,0.000973,True,accepted_posterior,bayes-hmm-v1,true
cam5,1574,1491,0.996984,0.996984,0.000612,True,accepted_posterior,bayes-hmm-v1,true
cam5,1575,1492,0.986772,0.986772,0.001049,True,accepted_posterior,bayes-hmm-v1,true
cam5,1576,1493,0.983348,0.983348,0.000941,True,accepted_posterior,bayes-hmm-v1,true
cam5,1577,1494,0.934643,0.934643,0.000758,True,accepted_posterior,bayes-hmm-v1,true
cam5,1578,1495,0.944697,0.944697,0.000879,True,accepted_posterior,bayes-hmm-v1,true
cam5,1579,1496,0.96207,0.96207,0.00059,True,accepted_posterior,bayes-hmm-v1,true
cam5,1580,1497,0.949977,0.949977,0.000594,True,accepted_posterior,bayes-hmm-v1,true
cam5,1581,1498,0.961574,0.961574,0.000676,True,accepted_posterior,bayes-hmm-v1,true
cam5,1582,1499,0.945537,0.945537,0.000641,True,accepted_posterior,bayes-hmm-v1,true
cam5,1583,1501,0.990105,0.990105,0.000607,True,accepted_posterior,bayes-hmm-v1,true
cam5,1584,1501,0.959814,0.959814,0.000474,True,accepted_posterior,bayes-hmm-v1,true
cam5,1585,1502,0.933943,0.933943,0.000608,True,accepted_posterior,bayes-hmm-v1,true
cam5,1586,1503,0.926031,0.926031,0.000601,True,accepted_posterior,bayes-hmm-v1,true
cam5,1587,1504,0.915284,0.915284,0.000554,True,accepted_posterior,bayes-hmm-v1,true
cam5,1588,1506,0.991119,0.991119,0.000547,True,accepted_posterior,bayes-hmm-v1,true
cam5,1589,1507,0.9931,0.9931,0.000343,True,accepted_posterior,bayes-hmm-v1,true
cam5,1590,1508,0.992819,0.992819,0.000374,True,accepted_posterior,bayes-hmm-v1,true
cam5,1591,1509,0.99046,0.99046,0.000272,True,accepted_posterior,bayes-hmm-v1,true
cam5,1592,1510,0.992842,0.992842,0.000365,True,accepted_posterior,bayes-hmm-v1,true
cam5,1593,1511,0.989464,0.989464,0.000346,True,accepted_posterior,bayes-hmm-v1,true
cam5,1594,1512,0.995414,0.995414,0.000249,True,accepted_posterior,bayes-hmm-v1,true
cam5,1595,1513,0.993562,0.993562,0.000194,True,accepted_posterior,bayes-hmm-v1,true
cam5,1596,1514,0.989324,0.989324,0.000209,True,accepted_posterior,bayes-hmm-v1,true
cam5,1597,1516,0.994649,0.994649,0.000194,True,accepted_posterior,bayes-hmm-v1,true
cam5,1598,1517,0.986504,0.986504,0.000224,True,accepted_posterior,bayes-hmm-v1,true
cam5,1599,1518,0.992854,0.992854,0.000225,True,accepted_posterior,bayes-hmm-v1,true
cam5,1600,1519,0.994997,0.994997,0.000235,True,accepted_posterior,bayes-hmm-v1,true
cam5,1601,1520,0.994299,0.994299,0.000361,True,accepted_posterior,bayes-hmm-v1,true
cam5,1602,1521,0.978865,0.978865,0.000508,True,accepted_posterior,bayes-hmm-v1,true
cam5,1603,1522,0.980625,0.980625,0.000528,True,accepted_posterior,bayes-hmm-v1,true
cam5,1604,1524,0.982038,0.982038,0.000544,True,accepted_posterior,bayes-hmm-v1,true
cam5,1605,1525,0.986013,0.986013,0.000489,True,accepted_posterior,bayes-hmm-v1,true
